"Economics, Policy & Politics",Marine,Fossil Fuels,Nuclear,Electricity Networks,Energy in Developing Countries,Teaching,Storage,Demand and Efficiency,Bioenergy,Transport,Solar,First name,Surname
1,0,0,0,0,1,0,0,0,0,1,0,Chris,Adam
0,1,0,0,0,0,0,1,0,0,0,0,Thomas,Adcock
0,0,0,0,0,0,0,0,0,1,0,0,Javier,Agusti
1,0,0,0,0,0,0,0,0,0,1,0,Nihan,Akyelken
0,0,0,0,0,0,0,1,0,0,0,0,Simon,Aldridge
1,0,0,1,0,0,0,0,0,0,0,0,Wade,Allison
1,0,0,0,0,0,0,0,0,0,0,0,Chris ,Allsopp CBE
0,0,0,0,0,0,0,0,0,0,0,1,Harry,Anderson
1,0,0,0,0,0,0,0,0,0,1,0,Karen,Anderton
0,0,0,1,0,0,0,0,0,0,0,0,David,Armstrong
0,0,0,0,0,0,0,0,0,1,0,1,Fraser,Armstrong
0,0,0,0,0,0,0,0,0,0,0,1,Hazel,Assender
0,0,0,0,0,0,0,0,0,0,0,0,Paul,Bagot
0,0,1,0,0,0,0,0,0,0,0,0,Christopher,Ballentine
1,0,0,0,0,1,0,0,0,1,1,0,Rene,Bañares-Alcántara 
1,0,0,0,0,0,0,0,0,0,1,0,David,Banister
0,0,0,0,0,0,0,0,0,0,0,1,William,Barford
0,0,0,0,0,0,0,0,0,0,0,0,Andrew,Barry
1,0,0,0,0,0,0,0,0,0,0,0,Eric,Beinhocker
0,0,0,1,0,0,0,0,0,0,0,0,Tony,Bell
1,0,0,0,0,0,0,0,1,0,0,0,Brenda ,Boardman
1,0,1,0,0,1,0,0,0,0,1,0,David,Bonilla
0,0,0,0,0,0,0,0,1,0,1,0,Christian,Brand
0,0,1,0,0,0,0,0,0,0,0,1,Chris,Breward
1,0,0,0,0,0,0,0,1,0,0,0,Susan,Bright
1,0,0,0,0,0,0,0,0,0,0,0,John,Broome
0,0,0,0,0,0,0,0,0,0,0,0,Peter,Bruce
1,0,0,0,0,0,0,0,0,0,0,0,David,Buchan
0,0,0,0,0,0,0,0,0,0,0,0,Harvey,Burd
0,0,0,0,0,0,0,0,0,0,0,1,Victor,Burlakov
0,0,1,0,1,0,0,0,0,0,0,0,Kevin,Burrage
0,1,1,0,0,0,0,0,0,0,0,0,Byron,Byrne
0,0,1,0,0,0,0,0,0,0,0,0,Joe,Cartwright
1,0,0,1,0,0,0,0,0,0,0,0,Roger,Cashmore
0,0,0,0,0,0,0,1,0,0,0,1,Jon,Chapman
1,0,0,0,1,1,0,0,0,0,0,0,Elizabeth,Chatterjee
0,0,0,0,0,0,0,1,1,0,0,0,Simon,Clarke
1,0,0,0,0,0,0,0,0,0,0,0,Paul,Collier
1,0,1,0,0,1,0,0,0,0,0,0,Michael,Daly
1,0,0,0,0,0,0,0,1,0,0,0,Sarah,Darby
1,0,1,0,0,1,0,0,1,0,1,0,Richard,Darton
0,0,0,0,1,0,0,1,0,0,1,0,William,David
0,0,0,0,0,0,0,1,0,0,0,0,Stephen,Davies
0,0,0,0,0,0,0,1,0,0,0,0,Ben,Davis
0,0,1,0,0,0,0,0,1,1,0,0,Martin,Davy
0,0,0,1,0,0,0,0,0,0,0,0,Paul,Dellar
0,0,0,0,0,0,0,0,0,0,0,0,Hugh,Dickinson
0,0,1,0,0,0,0,1,0,1,0,1,Peter,Dobson
