serial,Gora,Ten1,Tied,LLord,Furn,DMHSIZE,NumAdult,NumChild,NumDepCh,N1TO4,N5TO10,N11TO15,RESPSEX,RESPAGE,RESPMAR,RESPWith,RESPHldr,RELHRP,HHTypb,HHTYPA,HHTYPe,Parent,ParTod,Cars,CAR,Numcar,FullEd,HighEd,Highed4,Wrking,Qhealth1,SchemeET,JbAway,OwnBus,RelBus,Looked,StartJ,YInAct,DVILO3a,DVILO4a,Stat,SVise,EmpNo,Solo,SENo,FtPtWk,Parthrs,ES2000,NSSECB,nssecac,NSECAC5,NSECAC3,Everwk,sumgross,Nation1,Nation2,Nation3,Nation4,Nation5,Nation6,Ethnic,Paidjob,AGEX,AGEH,DeFact1,DeFacto,LEFTED,TENgrp,DiaryDay,TotUs1,dyear
10050201,1,1,-1,-1,-1,2,2,0,0,0,0,0,2,63,2,-1,3,1,3,4,3,2,-1,1,2,1,15,8,4,2,3,-1,2,2,2,2,-1,6,3,4,1,2,2,-1,-1,2,1,7,11.2,5,4,3,1,11,1,-1,-1,-1,-1,-1,1,0,4,10,1,1,2,1,1,-1,2005
10050301,1,4,2,1,3,6,1,5,5,1,3,1,2,29,1,2,1,0,4,7,4,1,1,2,1,-1,16,8,4,2,1,2,2,2,2,2,-1,2,3,4,-1,-1,-1,-1,-1,-1,-1,-1,14.1,8,6,4,2,27,1,-1,-1,-1,-1,-1,1,0,2,4,2,3,2,3,3,-1,2005
10050401,1,2,-1,-1,-1,5,4,1,1,0,0,1,1,18,1,2,5,3,2,6,2,2,-1,1,2,1,16,5,2,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,-1,-1,1,-1,7,13.2,7,5,3,-1,14,1,-1,-1,-1,-1,-1,1,3,1,2,2,3,2,2,1,40,2005
10050601,1,2,-1,-1,-1,4,2,2,2,0,2,0,1,34,2,-1,3,0,2,6,2,1,2,1,4,3,16,6,2,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,2,-1,-1,2,1,1,-1,2,8.1,4,3,2,-1,30,1,-1,-1,-1,-1,-1,1,1,2,5,1,1,2,2,1,52,2005
10050701,1,2,-1,-1,-1,3,2,1,1,0,1,0,1,67,1,3,1,0,2,6,2,1,2,1,2,1,15,8,4,2,2,-1,2,2,2,2,-1,6,3,4,1,2,2,-1,-1,1,-1,7,13.3,7,5,3,1,21,1,5,-1,-1,-1,-1,1,1,5,11,5,7,2,2,3,-1,2005
10050801,1,4,2,2,3,2,1,1,1,0,0,1,2,42,3,2,1,0,4,6,4,1,2,1,2,1,16,8,4,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,-1,-1,1,-1,7,7.1,3,2,2,-1,20,5,-1,-1,-1,-1,-1,1,1,2,7,4,6,2,3,4,43,2005
10050901,1,4,2,1,3,4,2,2,3,1,1,0,2,37,4,2,1,0,4,6,4,1,1,1,2,1,16,8,4,2,2,2,2,2,2,2,-1,2,3,4,1,2,1,-1,-1,2,1,7,12.1,6,5,3,1,17,1,-1,-1,-1,-1,-1,1,0,2,6,4,5,2,3,3,-1,2005
10051001,1,2,-1,-1,-1,1,1,0,0,0,0,0,1,50,4,-1,1,0,1,1,1,2,-1,1,2,1,17,5,2,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,-1,-1,1,-1,7,4.1,2,1,1,-1,30,5,-1,-1,-1,-1,-1,1,1,3,9,4,5,2,2,4,37,2005
10051101,1,2,-1,-1,-1,2,2,0,0,0,0,0,1,40,2,-1,3,0,3,3,3,2,-1,1,3,2,16,2,2,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,-1,-1,1,-1,4,2,1.1,1,1,-1,35,5,-1,-1,-1,-1,-1,1,2,2,7,1,1,2,2,1,65,2005
10051201,1,2,-1,-1,-1,2,2,0,0,0,0,0,1,32,1,1,3,2,3,3,3,2,-1,1,3,2,16,5,2,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,6,10,5,4,3,-1,22,1,-1,-1,-1,-1,-1,1,2,2,5,1,2,2,2,6,40,2005
10051301,1,2,-1,-1,-1,3,2,1,1,1,0,0,2,22,1,1,3,2,2,6,2,1,1,1,2,1,15,5,2,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,-1,-1,2,-1,7,13.1,7,5,3,-1,16,1,-1,-1,-1,-1,-1,1,1,1,3,1,2,2,2,4,27,2005
10051501,1,4,2,1,3,4,2,2,2,0,1,1,2,17,1,2,5,3,4,6,4,2,-1,2,1,-1,16,8,4,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,-1,-1,2,-1,7,12.1,6,5,3,-1,11,1,-1,-1,-1,-1,-1,1,2,1,1,2,3,2,3,2,18,2005
10051601,1,4,2,2,3,2,2,0,0,0,0,0,1,69,2,-1,1,0,3,4,3,2,-1,1,2,1,15,8,4,2,3,-1,2,2,2,2,-1,6,3,4,2,-1,-1,1,-1,1,-1,3,9.1,4,3,2,1,12,1,-1,-1,-1,-1,-1,1,0,5,11,1,1,2,3,1,-1,2005
10051901,1,4,2,2,3,4,1,3,3,1,1,1,2,27,4,2,1,0,4,7,4,1,1,2,1,-1,15,6,2,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,-1,-1,2,-1,7,13.1,7,5,3,-1,7,5,-1,-1,-1,-1,-1,1,1,2,4,4,5,2,3,4,16,2005
10052001,1,1,-1,-1,-1,2,2,0,0,0,0,0,1,62,2,-1,3,1,3,3,3,2,-1,1,3,2,15,8,4,2,2,2,2,2,2,1,1,-1,2,3,1,2,1,-1,-1,1,-1,7,13.3,7,5,3,1,6,1,-1,-1,-1,-1,-1,1,1,4,10,1,1,2,1,2,-1,2005
10052101,1,2,-1,-1,-1,4,4,0,1,0,0,0,2,39,2,-1,3,1,2,5,2,2,-1,1,2,1,17,4,2,2,4,2,2,2,2,2,-1,4,3,4,1,1,2,-1,-1,1,-1,6,10,5,4,3,1,14,1,5,-1,-1,-1,-1,1,2,2,6,1,1,2,2,4,-1,2005
10052201,1,4,2,1,3,1,1,0,0,0,0,0,2,67,3,-1,1,0,1,2,1,2,-1,2,1,-1,15,8,4,2,3,-1,2,2,2,2,-1,6,3,4,1,2,2,-1,-1,1,-1,7,13.2,7,5,3,1,11,1,-1,-1,-1,-1,-1,1,0,5,11,4,6,2,3,4,-1,2005
10052301,1,2,-1,-1,-1,3,3,0,0,0,0,0,2,27,1,1,3,2,3,5,3,2,-1,1,2,1,16,5,2,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,-1,-1,1,-1,7,12.6,6,5,3,-1,16,1,5,-1,-1,-1,-1,1,3,2,4,1,2,2,2,7,38,-1
10052401,1,2,-1,-1,-1,4,2,2,2,1,1,0,1,42,2,-1,5,1,2,6,2,1,1,1,4,3,17,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,-1,-1,1,-1,4,2,1.1,1,1,-1,31,1,-1,-1,-1,-1,-1,1,2,2,7,1,1,2,2,3,37.5,2005
10052501,1,2,-1,-1,-1,2,2,0,0,0,0,0,2,45,2,-1,3,1,3,3,3,2,-1,1,3,2,15,5,2,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,3,-1,-1,1,-1,7,7.1,3,2,2,-1,18,5,-1,-1,-1,-1,-1,1,2,3,8,1,1,2,2,7,37,2005
