aprim1,aprim2,aprim3,aprim4,aprim5,aprim6,aprim7,aprim8,aprim9,aprim11,aprim12,aprim13,aprim14,aprim15,aprim16,aprim17,aprim18,aprim19,aprim20,aprim21,aprim22,aprim23,aprim24,aprim25,aprim26,aprim27,aprim28,aprim29,aprim30,aprim41,aprim42,aprim43,aprim44,aprim45,aprim51,aprim52,aprim53,aprim54,aprim55,aprim61,aprim62,aprim63,aprim64,aprim65,aprim71,aprim72,aprim73,aprim74,aprim75,aprim81,aprim82,aprim83,aprim84,aprim85,aprim91,aprim92,aprim93,aprim94,aprim95,aprim99
540,0,40,70,90,90,30,0,0,0,0,0,0,0,0,0,0,0,290,60,0,210,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,30,100,60,230,0,0,0,0,0,0,0,110,530,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
710,0,50,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,50,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
720,150,40,60,0,0,0,0,0,10,0,0,0,0,0,0,0,0,30,0,0,0,400,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,0,10,110,10,0,0,0,0,0,0,0,0,70,0,0,0,0,540,130,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,0,90,30,20,110,0,140,0,450,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,0,0,30,50,110,0,0,0,0,0,0,0,340,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,0,20,50,40,0,0,0,0,410,0,0,0,0,0,0,0,0,140,0,0,0,160,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,0,30,170,0,0,0,0,0,100,0,0,0,0,0,0,0,0,300,0,90,80,0,0,0,0,0,0,0,0,0,0,0,100,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,0,80,60,50,0,0,0,0,480,0,0,0,0,0,0,0,0,150,0,0,170,0,0,0,0,0,0,0,0,0,30,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,0,30,60,30,10,0,0,0,530,0,0,0,50,0,0,0,0,200,0,0,30,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,30,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
480,0,120,30,10,120,0,0,0,280,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
580,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,100,0,60,90,0,0,0,70,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,0,0,10,60,0,0,110,0,0,0,0,0,170,0,0,0,340,110,0,0,30,0,0,0,0,0,0,0,10,0,0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,90,10,70,20,0,0,0,0,0,0,0,0,0,110,0,0,0,560,40,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,30,50,20,0,0,0,0,0,0,0,0,0,0,0,0,90,460,0,0,180,0,0,0,0,220,0,0,20,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,200,90,30,80,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,0,50,50,0,0,0,0,0,280,0,0,0,0,0,0,0,300,270,0,0,0,0,0,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,40,10,30,40,80,20,0,0,0,0,0,0,390,0,0,0,80,100,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
510,0,50,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,570,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,0,50,10,10,0,0,0,0,610,0,0,0,0,0,0,0,30,60,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,30,20,60,30,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,90,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,110,0,70,50,0,0,0,0,0,0,0,0,80,0,0,0,40,240,0,0,0,0,80,0,0,0,180,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,0,20,60,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,0,90,70,30,0,0,0,0,0,0,0,0,130,0,0,0,0,170,30,0,240,0,0,0,60,0,0,0,0,0,0,0,90,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,30,20,430,270,10,0,0,0,0,0,0,0,0,0,0,0,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
440,0,90,60,90,0,60,360,0,0,0,0,0,0,0,0,20,0,60,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,40,50,70,90,0,0,0,0,120,0,0,0,0,0,0,0,10,390,70,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,420,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,50,50,100,0,0,0,230,0,400,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,20,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,0,30,90,60,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,0,0,40,110,30,100,0,0,0,0,0,0,330,0,0,0,120,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,80,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
